table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2022 Population:
April 1, 2020 to July 1, 2022",,,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,
,,,2020,2021,2022
1,"New York city, New York","8,804,194","8,740,647","8,459,001","8,335,897"
2,"Los Angeles city, California","3,898,767","3,895,836","3,837,986","3,822,238"
3,"Chicago city, Illinois","2,746,352","2,740,076","2,698,029","2,665,039"
4,"Houston city, Texas","2,301,572","2,299,867","2,291,655","2,302,878"
5,"Phoenix city, Arizona","1,608,190","1,612,337","1,625,356","1,644,409"
6,"Philadelphia city, Pennsylvania","1,603,799","1,600,600","1,589,480","1,567,258"
7,"San Antonio city, Texas","1,434,367","1,439,225","1,454,020","1,472,909"
8,"San Diego city, California","1,386,960","1,386,872","1,374,484","1,381,162"
9,"Dallas city, Texas","1,304,317","1,303,641","1,290,711","1,299,544"
10,"Austin city, Texas","961,900","965,768","969,343","974,447"
11,"Jacksonville city, Florida","949,616","951,707","956,911","971,319"
12,"San Jose city, California","1,013,221","1,009,830","981,466","971,233"
13,"Fort Worth city, Texas","918,937","923,576","937,539","956,709"
14,"Columbus city, Ohio","905,839","906,266","903,051","907,971"
15,"Charlotte city, North Carolina","874,607","875,115","882,503","897,720"
16,"Indianapolis city (balance), Indiana","887,661","887,153","882,420","880,621"
17,"San Francisco city, California","873,959","870,393","811,253","808,437"
18,"Seattle city, Washington","737,018","740,520","731,507","749,256"
19,"Denver city, Colorado","715,538","717,556","711,323","713,252"
20,"Oklahoma City city, Oklahoma","681,084","683,024","688,361","694,800"
21,"Nashville-Davidson metropolitan government (balance), Tennessee","689,454","689,725","678,134","683,622"
22,"El Paso city, Texas","678,697","679,040","678,475","677,456"
23,"Washington city, District of Columbia","689,546","670,868","668,791","671,803"
24,"Las Vegas city, Nevada","644,866","646,737","650,770","656,274"
25,"Boston city, Massachusetts","675,632","671,570","654,537","650,706"
26,"Portland city, Oregon","652,518","653,294","643,375","635,067"
27,"Louisville/Jefferson County metro government (balance), Kentucky","632,550","632,441","627,709","624,444"
28,"Memphis city, Tennessee","631,539","631,168","625,982","621,056"
29,"Detroit city, Michigan","639,115","637,342","628,167","620,376"
30,"Baltimore city, Maryland","585,693","583,139","576,981","569,931"
31,"Milwaukee city, Wisconsin","577,225","576,511","565,840","563,305"
32,"Albuquerque city, New Mexico","564,581","564,855","563,108","561,008"
33,"Tucson city, Arizona","542,656","542,676","541,234","546,574"
34,"Fresno city, California","542,252","542,447","543,910","545,567"
35,"Sacramento city, California","524,924","525,668","525,951","528,001"
36,"Mesa city, Arizona","504,300","505,863","509,339","512,498"
37,"Kansas City city, Missouri","507,971","508,183","508,949","509,297"
38,"Atlanta city, Georgia","498,722","499,868","492,667","499,127"
39,"Colorado Springs city, Colorado","479,016","480,292","483,328","486,248"
40,"Omaha city, Nebraska","491,743","492,601","488,508","485,153"
41,"Raleigh city, North Carolina","467,762","464,320","469,892","476,587"
42,"Virginia Beach city, Virginia","459,471","459,646","458,680","455,618"
43,"Long Beach city, California","466,775","465,448","454,334","451,307"
44,"Miami city, Florida","442,260","442,799","441,999","449,514"
45,"Oakland city, California","440,660","440,873","436,291","430,553"
46,"Minneapolis city, Minnesota","429,985","430,684","424,635","425,096"
47,"Tulsa city, Oklahoma","413,123","413,603","412,770","411,867"
48,"Bakersfield city, California","404,440","405,181","409,079","410,647"
49,"Tampa city, Florida","384,661","387,908","392,893","398,173"
50,"Wichita city, Kansas","397,547","398,003","396,679","396,192"
51,"Arlington city, Texas","394,257","394,212","393,278","394,602"
52,"Aurora city, Colorado","386,324","386,749","390,370","393,537"
53,"New Orleans city, Louisiana","383,998","383,218","377,063","369,749"
54,"Cleveland city, Ohio","372,632","371,817","365,389","361,607"
55,"Anaheim city, California","346,825","347,105","346,174","344,461"
56,"Urban Honolulu CDP, Hawaii","350,966","348,387","346,594","343,421"
57,"Henderson city, Nevada","317,310","319,039","322,421","331,415"
58,"Stockton city, California","320,810","321,023","322,607","321,819"
59,"Riverside city, California","315,014","315,469","313,912","320,764"
60,"Lexington-Fayette urban county, Kentucky","322,567","322,613","320,473","320,347"
61,"Corpus Christi city, Texas","317,863","318,047","317,828","316,239"
62,"Orlando city, Florida","307,683","307,733","309,854","316,081"
63,"Irvine city, California","307,665","308,974","305,096","313,685"
64,"Cincinnati city, Ohio","309,561","309,574","308,685","309,513"
65,"Santa Ana city, California","310,555","309,921","308,771","308,189"
66,"Newark city, New Jersey","311,552","310,613","307,312","305,344"
67,"St. Paul city, Minnesota","311,518","311,130","307,150","303,176"
