SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022
162,6,0,14260,0,0,0,A,Coachella city,California,41938,42025,42543,42835
162,6,0,14274,0,0,0,A,Coalinga city,California,17601,17654,17155,17024
162,6,0,14498,0,0,0,A,Colfax city,California,1987,1991,2015,2021
162,6,0,14736,0,0,0,A,Colma town,California,1502,1544,1580,1550
162,6,0,14890,0,0,0,A,Colton city,California,53892,53970,54272,53918
162,6,0,14946,0,0,0,A,Colusa city,California,6404,6398,6396,6368
162,6,0,14974,0,0,0,A,Commerce city,California,12363,12317,12042,11828
162,6,0,15044,0,0,0,A,Compton city,California,95712,95411,93456,91988
162,6,0,16000,0,0,0,A,Concord city,California,125411,125256,124337,122625
162,6,0,16224,0,0,0,A,Corcoran city,California,22340,22709,22644,22837
162,6,0,16322,0,0,0,A,Corning city,California,8243,8232,8196,8226
162,6,0,16350,0,0,0,A,Corona city,California,157154,157549,159782,159567
162,6,0,16378,0,0,0,A,Coronado city,California,20194,18136,19040,18702
162,6,0,16462,0,0,0,A,Corte Madera town,California,10226,10217,10187,10006
162,6,0,16532,0,0,0,A,Costa Mesa city,California,111926,111797,110885,109521
162,6,0,16560,0,0,0,A,Cotati city,California,7592,7580,7529,7453
162,6,0,16742,0,0,0,A,Covina city,California,51275,51173,50370,49489
162,6,0,17022,0,0,0,A,Crescent City city,California,6673,6511,6170,5983
162,6,0,17498,0,0,0,A,Cudahy city,California,22808,22740,22256,21969
162,6,0,17568,0,0,0,A,Culver City city,California,40769,40675,39987,39515
162,6,0,17610,0,0,0,A,Cupertino city,California,60363,60157,58578,57856
162,6,0,17750,0,0,0,A,Cypress city,California,50144,50171,49858,49243
162,6,0,17918,0,0,0,A,Daly City city,California,104973,104633,101482,100007
162,6,0,17946,0,0,0,A,Dana Point city,California,33100,33066,32794,32465
162,6,0,17988,0,0,0,A,Danville town,California,43571,43527,43294,42732
162,6,0,18100,0,0,0,A,Davis city,California,66858,66760,67066,67048
