,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,,,,
Region,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,,,,
California,-0.70%,-1.30%,0.00%,-1.60%,-1.50%,-1.50%,-2.10%,-1.40%,0.00%,1.10%,4.20%,4.20%,4.70%,3.30%,-1.30%,-3.40%,1.00%,7.20%,12.10%,14.40%,12.90%,13.40%,13.00%,15.80%,16.90%,20.10%,29.10%,33.60%,29.00%,22.10%,17.60%,14.60%,14.80%,15.60%,14.50%,13.00%,13.80%,14.90%,13.10%,10.40%,5.60%,2.70%,1.60%,2.20%,0.20%,-2.80%,-4.30%,,,,
